sentiment,text,data_id
positive,"Was able to find a youtube video discussing the 6 main reasons an oven doesn't heat.  The element was number 3, and when I looked it was indeed broken.  Replacement was 4 philips screws.  It worked out of the box.  Was the exact same as the original as to shape and size.  Prime shipping got it to me in two days.  And it was the best price I was able to find.  Score!",6
positive,Buen producto,6
positive,"This product is great, no flavor, and has monthly stickers to use for reminder.",6
positive,they work,6
positive,"Working great.  Washer no longer ""moves"" during spin cycle.  Yes, washer still vibrates during heavy loads, but at least now it just vibrates on these pads and the pads do not move.  Pads are on a vinyl floor in mud room.",6
positive,These are much cheaper than the name brand and and fit perfectly.,6
positive,"This has been a lifesaver! Since we don’t want to risk going to laundromat during this pandemic this has really helped us out! I have washed clothes, towels and sheets. It’s small so it does take time getting through all the laundry we have piled up but so worth it. Highly recommend!",6
positive,this should work in any dishwasher,6
negative,I have had this machine for almost a year.  Can't tell you how it washes and dries. I have not been able to connect it to sink spigots. It won't connect to any of the faucets that pulls out and a sprayer.  It now serves as a place to store the already cleaned dishes.  WAIT  I have it now--I should put the dirty ones in until I have a chance to wash them by hand.  I hate looking at dirty dishes.<br />So unless you have the old type faucet stay clear of this one.,6
positive,"Works great! But if you're in the minority of people (like me) who didn't consider the stove was higher than the countertop, then the gap cover is not going to stay in place very well.",6
positive,"Tried others, which died after a month of usage.  This one has lasted longer, 2 months and counting.  My original igniter lasted 30 years. I am hoping for 30 years with this replacement.",6
positive,Liked it may have saved me $20000 in future,6
negative,"I could not get this to work, i.e. no delicious espresso",6
positive,Just what we needed. Fit perfectly,6
positive,I was glad to find a replacement part that FIT !!!,6
positive,Installation was easy thanks to the clear instructions. No leakage. I'm very pleased with this product.,6
negative,This particular filter does not filter some of the organics and pharmaceuticals on my water supply but if your water quality is better than mine is a very good value.,6
positive,these cartridges are just what I wanted.,6
positive,Use for covid-19 mask filters,6
positive,"Great price at the time, fit exactly like the original part. Would buy again, but I think this handle will out live the stove.",6
positive,Perfectly functional.,6
positive,The coffee I made with this filter is delicious! Be sure to follow the directions on the box for how to fit it in the Keurig.,6
positive,"I've wanted an ice maker for a while and spent months researching and comparing before purchasing the COTLIN crescent ice maker. Overall, I'm very pleased with my purchase, it does exactly what I wanted it to do.<br />This machine makes nice, clear, cubed ice, exactly as I wanted, and easy to get the prepared ice out of the machine, that works perfectly for my purposes, after the first ice making, it takes about 15-20 minutes of ice to drop into the ice bin, usually not an issue for me.<br />The actual whirring sound while the machine is making ice is not too loud in my opinion. On par with the quieter dishwasher models. However, the ice falls into the bucket with a bang. It doesn't bother me much, but something to think about.<br />All in all, this machine does what I needed it to do, and it does it well. Depending on what you are looking for in an icemaker, it's a very solid option and I'm pleased with my purchase.",6
positive,This fits my 6 yr old Exmark 52” deck. I lost the original and this replaces it perfectly.,6
positive,"My GE stove is old but still works good and I love it, but wanted to cover up the burners when I am not using them.  These covers are embossed in silver which matches all the hardware on my stove and makes my old stove look like new even if the color is avacado.  Very satisfied with my purchase and would recommend them to anyone.",6
positive,pump fit perfectly and works as should.,6
positive,I've been meaning to change the filter of my Honeywell humidifier. These filters that I got were perfect.,6
positive,Really does a great job. Clothes much cleaner than using pay laundry . Best part is the time saving convenience . Watch one of the videos for tips on how to use it.  I use my shower sprayer hose to add the water because couldn’t get a hose connecter that didn’t leak. Usually just put washer in the bathtub when I use it so so t have to worry about any leaking .(The washer does not leak and is very well made but light enough to pick up and move it).,6
positive,They fit and were not rediculously priced.,6
positive,"My dryer went out and tracked it to the thermal fuse. Product worked, back to drying. Locals wanted to charge me $19 for one. Great price and it worked!",6
positive,The right product at a great price.,6
positive,OEM part...OEM quality! Just what I was looking for!,6
positive,"Good, unbleached, exactly what I was looking for.",6
negative,Just received these and they look nothing like the picture. The wood design looks almost animated and they both arrived extremely dented and won't lay flat on the stove. The flimys thin material and terrible print is very disappointing.,6
positive,"I had the older model crowfull ice make and it did a good job although took a while to make ice. This model however, does an amazing job. It makes ice way quicker, about 7-15 min per batch, and is quite. This ice maker also has a great capacity. Overall I am beyond satisfied with this ice maker.",6
positive,works great!,6
positive,Compatible with my whirlpool fridge.  Seems to be working well.  Will order again.,6
positive,We're trying to reduce the amount of plastic we use in our daily lives and decided to switch to the Chemex 10-cup pour over coffee maker instead of a plastic automatic drip coffee maker. This filter fits perfectly in the Chemex and it we've been enjoying our pour over coffee!,6
positive,This was just what I need. My flatware basket had worn out at the bottom and the utensils fell through. I was super please to find this at a good price. Even though the racks are gray in my GE 18&#34; dishwasher this was is just fine.,6
positive,Absolutely  love it works great ...you will  need the extended  hose well worth it. Perfect  for apartment  home  .,6
negative,Great time delivered product just took a little open and closing the coffee pot to get it to recognize it but haven’t had a issue since !!! Very nice !!,6
positive,Keeps drinks super cold! Holds lots of drinks. Looks great on our porch.,6
negative,only one piece came. there was a hole in the bag.,6
positive,Filter made by Bunn for the coffee maker I bought so they fit correctly and keep coffee ground out of pot.,6
positive,The part fit perfectly and my husband was able to replace the broken valve with this one saving us lots of $$$$$.,6
positive,It's easy to use and I love it,6
positive,I love this! Very easy to clean and no clogging at all. I’m very happy with this purchase!,6
positive,Works perfectly and easy to reinstall with instructions from a older furnace installation!,6
negative,"Got this product when they said I would, sometimes I get product sooner but not this. So it was good, also a part was taped together cuz clip was broke, but it still works we will see for how long.",6
positive,"The parts are good and about half what Whirlpool charges. The fix was fairly quick, but do yourself a favor and find a good YouTube video to walk you through if you aren't sure. The directions they send with the parts are pretty poor.",6
positive,Appears to work as well as those costing 4 to five times as much.,6
positive,"Easy to replace filter, though I couldn't really tell I replaced anything.  Maybe we just don't have a stinky fridge??",6
positive,work great and at  a good price,6
positive,Also easy to install...at least on my dishwasher.,6
positive,Arrived well packaged. Easy to install. Works Great,6
positive,Good product good price.,6
positive,Helps reduce cost of using K-cups,6
positive,on time delivery and installed in seconds and works great,6
positive,The part was very affordable and easy to replace just remove 2 bolts unplug old plug in the new one put bolts back in. Make sure you turn the power off to your oven if you have never done anything like this before.,6
negative,Our belt broke on our original dryer so we bought this to replace it. Less than 3 weeks later it broke.,6
positive,Great price glad to have found it other stores had it alot higher,6
positive,It is great to have ice again! Thanks for a timely delivery and the product is as advertised.,6
positive,"Our ancient  maytag dryer stopped working and my husband troubleshoot it down to this piece, most likely. I was already dreaming of a new dryer but agreeded we try replacing this piece. It worked! We saved a lot of money, even though my hopes for a new dryer got crushed.",6
positive,Good buy and fast delivery. Thank you!,6
positive,Fits old stove great,6
negative,"Probably wouldn’t buy again, I had it for a month and the flipper that puts the ice in the tray broke and you can’t get replacement parts, for that month it was a awesome machine but unfortunately they didn’t offer to make it right with a new machine.",6
positive,Worked Like a Charm!,6
positive,Such an amazing machine. Holds a decent amount of clothes. Have to spin in batches but spinner literally dries in less than 1 min so it works for us.  Clothes come out almost dry. I wish I had purchased this sooner. Definitely better than going to a laundromat,6
positive,"Works great and comes with the necessary washers. Took a week to get here though, so order further out than when you need them.",6
negative,"We bought two months ago, my husband installed it and now it’s not working. This is the replacement one. The first one went out in 3 months.",6
positive,"Our freezer light burnt out and to my surprise it was an LED strip and not your typically bulb.  I looked the part number up on the GE Appliance website and searched Amazon.  To my surprise it was available under $15.00!!  I got the item, plugged it in, and needed some sunglasses to put everything back together.  This was a great purchase.  Lets hope it lasts for awhile.",6
negative,"My dryer got an error because the flow was so restricted. Switched to the bettervent, much better solution for my situation",6
negative,I've had this for about two weeks and the gauge hasn't moved from 75% despite any adjustment that my dehumidifier is set on.  I second the other comment about getting what you pay for.  Save your money!,6
positive,"With a second person to help tilt the machine back, all four were quickly swapped-out from the bottom.  I was amazed at how quickly it was done, but they've made just the difference we wanted!  Decent steel and plastic construction, so I'm hoping these last at least as long as the OE ones.",6
positive,It worked out perfectly,6
negative,Don't bother... Within a year flashs an EEO code and no longer functions. Customer service is a terminal hold.,6
positive,They were affordable and easy to install- look better than the original.,6
positive,It was an exact fit at a good price.,6
positive,Plug'n and play!!!,6
positive,Fit my fridge exactly,6
negative,"Even though this model number matches what our refrigerator requires, it was too long to fit in the compartment and cannot be used.",6
positive,"Stainless Steel, fine mesh, complete with center ring, and they fit Bodum (8 cup) press.<br />Also, fewer grounds in the mug.  Thanks.",6
positive,Nobody had the kit at this low price. Or everything in one package.. Amazon rocks!!,6
positive,Perfect fit for our whirlpool fridge no leaks,6
negative,"Be aware, we ran into a problem replacing our old 760 model with the 700. The problem was the old controller is inside the house on our wall. With the 700 digital, The controller has to be installed on the humidifier unit (thus for our unit, the controller would be in the crawl space under the house- not ideal!). You can't just replace the digital controller with the old controller inside the house. This you can't control the digital from inside your house. You have to get 700 model with manual control. The manual control can replace the 760 control inside the house.",6
positive,Silent and cleaning good,6
negative,Do not waste your money.  My Keurig failed to recognize this coffee container.,6
positive,"These are the best things I never knew I needed. I got so tired of cleaning/scrubbing drip pans I just gave up. Then a friend told me about these. Murphy's Law-I bought them and didn't spill/drip anything in them for months! Ha ha ha! But when they get dirty, just switch out for another one. Easy peasy!",6
positive,"This filter is easy to install and water taste great. This is a great price! I usually buy this filter in store for $50, but having 3 filters for $40 is great! You can't beat that!",6
positive,Easy to put in and the water tastes just fine. I gave them 4 stars because I notice water stains in the tray which I didn't have before with the Samsung brand. The water does come out faster which I like but probably because there aren't as many filters as the name brand. That being said the cost is about 60% less than at the local store so will probably keep buying them because they are a great value.,6
positive,My screen was damaged and this was an exact replacement for my LG dryer,6
positive,Good quality and fitment.,6
positive,Works great,6
negative,Extremely upset disassembled my gas stove went to install new eliment and it fell apart in my hand. the internal eliment just shattred. Very upset the stove is tore appart and no chance of getting a new part for days.,6
negative,I thought this would be a little more snug.  Multiple people in the household cook. Went to clean the stove and oil was accumulated under the mats.,6
positive,Worked perfectly.  I used a Youtube video and made the repair.  My washing machine now works.,6
positive,"Super fast shipping.  Perfect fit, but so hard to install.  Watched videos first so I knew it would not be easy.",6
negative,"Looks can be deceiving. Although looks similar to actual LG tool, is not sized right to put enough pull on spring to install. Returning.",6
positive,"So far so good.  Seems to work, but for far less money.",6
positive,"I like the filters because they are natural, and not bleached. Delivery was quick, packaging adequate.",6
positive,"I spent a long time searching for a new ice machine.  Over the last 20 years I have had (2) Scotsman machines and a Ice-O-Matic that made the cool pearl nugget ice.  These machines were $2,000+ each at time of purchase and all of them went bad at about the 6 year mark. You know., right after the warranty ends.  The ""repairs"" are more than just buying a new one.  Funny how it seems to work that way. These machines were heavily serviced as recommended and we also used water filters ""in-line"" to assist in longevity.  This time I tried a new path.  So far this machine has done very well.  You have to slightly break up the ice after it falls, but that is not a big issue at all.  The price is excellent for the quality of ice.  I recommend,.. and I did a lot of looking and searching before I pulled the trigger on this machine.  We are three months in.. and so far so good.",6
positive,"Bought this on prime day. Works great. Don’t overload it or doesn’t clean as well. I only use normal mode. Rapid made soap marks on my dishes. I use the pitcher and don’t hookup to my sink, can be annoying for 2 mins but works great. I literally think it’s a life saver in an apt!",6
positive,Work and fit,6
positive,Worked for a year now. One of many times I have fixed my washer and dryer. Don't buy LG stuff!!!,6
positive,"Great for my Keurig, cheaper than buying the kcups, no waste",6
positive,Works as described. Will purchase again!,6
positive,"[[VIDEOID:9fa29c6960860e7e2f792badb7fa4892]] I found this product incredibly easy to use and convenient. For me, having an ice maker was an impossibility in my apartment as we would never be given an up to date fridge.<br /><br />My sister in law bought one like this and I decided to give it a shot. I legitimately use this more than once a day. I drink way more water (I enjoy ice water and struggle with warm) and even my cat loves having her bowl filled with ice water. It's just great. Well worth it.",6
positive,The KASINGS Range Oven Bake Lower Unit Heating Element Replacement solved my oven problem.  It arrived in a timely manner as well.,6
positive,"follow the instructions and it will perform perfectly.  I did not run enough water through mine after i first installed it and it dripped, when I ran a couple more glasses of water through, no more dripping",6
positive,I like it very much. I am absolutely amazed at this stuff!This product is high quality and good values!!! good!,6
negative,Looks like a nice stove but mine came without some of the necessary pieces and it cannot be returned so I spent $100 and did not get a useable product,6
positive,Received promptly and as expected. Good product.,6
positive,"Durable filter that works great in my Amana fridge. Great tasting water, noticeable difference.",6
positive,"I ordered a package & misplaced it, so I ordered another pack. Of course I found the first pack the day the second came in. Replacing them on a the grates was easy & no more out of balance grates. Very reasonably priced. Keeping them in the drawer by the stove so I don’t misplace them again!",6
positive,"One you use this strainer, you'll never go back to the tea infuser balls.  The basket doesn't limit the amount of loose leaf you can use like the balls do, and you won't find small bits of leaf in the bottom of your cup either.  The lid helps to hold in heat, and acts as a coaster for the basket when you lift it from your cup.  The basket is easy to clean under running water.",6
negative,It's loud and doesn't move air very well.  Even on low it's loud and even on high it doesn't move air well.  Halogen lights get very hot.,6
positive,so far so good. Easy to install,6
positive,Excellent,6
negative,Box was damaged. No 8nstructuons,6
positive,The part fit perfectly and was a breeze to install. The whole job took less than a half hour.,6
positive,good product,6
positive,Perfect fit easy to install overnight delivery what more could you want!!,6
positive,Arrived promptly.  Labeling was not what I expected but seems to work just fine and price was great,6
positive,"These reusable pods are great. Coffee comes out good, no grains. They are easy to fill, empty and clean.<br />Will be purchasing more.",6
